"kol","lnk","gosp","gosc","frek","nFrek"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,gornik-zabrze-ssa,1650253.html","POGOÑ SZCZECIN","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 4548 osób","4548"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,wisla-krakow-sa,1650251.html","KORONA SA KIELCE","WIS£A KRAKÓW SA","Mecz ogl¹da³o 7651 osób","7651"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,sandecja-nowy-sacz,1650250.html","ZAG£ÊBIE LUBIN","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 5473 osób","5473"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,legia-warszawa-s-a,1650249.html","JAGIELLONIA BIA£YSTOK SSA","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 17894 osób","17894"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,wisla-plock-s-a,1650248.html","CRACOVIA SSA KRAKÓW","WIS£A P£OCK S.A.","Mecz ogl¹da³o 4803 osób","4803"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,slask-wroclaw,1650260.html","SANDECJA NOWY S¥CZ","ŒL¥SK WROC£AW","Mecz ogl¹da³o 1341 osób","1341"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,cracovia-ssa-krakow,1650255.html","ARKA GDYNIA SSA","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 8541 osób","8541"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,zaglebie-lubin,1650258.html","LECHIA GDAÑSK","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 9399 osób","9399"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,korona-sa-kielce,1650259.html","POGOÑ SZCZECIN","KORONA SA KIELCE","Mecz ogl¹da³o 5595 osób","5595"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,jagiellonia-bialystok-ssa,1650261.html","WIS£A KRAKÓW SA","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 11056 osób","11056"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,bruk-bet-termalica-nieciecza,1650262.html","WIS£A P£OCK S.A.","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 4898 osób","4898"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,gks-piast-gliwice-s-a,1650256.html","GÓRNIK ZABRZE SSA","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 22708 osób","22708"
11,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,legia-warszawa-s-a,1650257.html","KKS LECH POZNAÑ","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 36829 osób","36829"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,wisla-plock-s-a,1650267.html","KORONA SA KIELCE","WIS£A P£OCK S.A.","Mecz ogl¹da³o 6069 osób","6069"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,kks-lech-poznan,1650265.html","JAGIELLONIA BIA£YSTOK SSA","KKS LECH POZNAÑ","Mecz ogl¹da³o 12156 osób","12156"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,sandecja-nowy-sacz,1650269.html","GKS PIAST GLIWICE S.A.","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 4248 osób","4248"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,arka-gdynia-ssa,1650263.html","BRUK-BET TERMALICA NIECIECZA","ARKA GDYNIA SSA","Mecz ogl¹da³o 2155 osób","2155"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,wisla-krakow-sa,1650270.html","ŒL¥SK WROC£AW","WIS£A KRAKÓW SA","Mecz ogl¹da³o 21503 osób","21503"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,gornik-zabrze-ssa,1650266.html","ZAG£ÊBIE LUBIN","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 11256 osób","11256"
